NOTICE_DATE,2026-05-18
LEVEL1_CONTENT,获KeyCorp重申评级Overweight，目标价上调至300美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-18
LEVEL1_CONTENT,获D. A.达维德森上调目标价至300美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-14
LEVEL1_CONTENT,获加拿大皇家银行重申评级Outperform，目标价250美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-14
LEVEL1_CONTENT,获瑞银集团上调目标价至275美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-14
LEVEL1_CONTENT,获Cantor Fitzgerald上调目标价至350美元，最新评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-13
LEVEL1_CONTENT,获美国银行上调目标价至320美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,一季报披露
NOTICE_DATE,2026-05-20
LEVEL1_CONTENT,2026财年一季报归属股东应占溢利583.2亿美元，同比增长210.63%，基本每股收益2.4美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2026-05-20
LEVEL1_CONTENT,2025季度分配每1股派0.25美元股息，除权除息日2026-06-04，派息日2026-06-26
LEVEL2_CONTENT,None
EVENT_TYPE,公司回购
SPECIFIC_EVENTTYPE,公司回购
NOTICE_DATE,2026-05-20
LEVEL1_CONTENT,2026年一季度累计回购金额193.1亿美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-12
LEVEL1_CONTENT,获富国银行重申评级Overweight，目标价上调至315美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-02-28
LEVEL1_CONTENT,获交银国际证券维持评级至买入，目标价260美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-01-11
LEVEL1_CONTENT,获西南证券维持评级至买入，目标价249.54美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-11-21
LEVEL1_CONTENT,获交银国际证券维持评级至买入，目标价245美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-11-02
LEVEL1_CONTENT,获交银国际证券维持评级至买入，目标价240美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-10-15
LEVEL1_CONTENT,获汇丰银行设定目标价320美元,评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-10-09
LEVEL1_CONTENT,获Cantor Fitzgerald设定目标价300美元,评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-10-03
LEVEL1_CONTENT,获Cantor Fitzgerald重申评级Overweight，目标价调整至240美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-23
LEVEL1_CONTENT,获Rosenblatt Securities重申评级Buy，目标价调整至215美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-23
LEVEL1_CONTENT,获Evercore ISI上调目标价至225美元，最新评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,年报披露
NOTICE_DATE,2026-02-25
LEVEL1_CONTENT,2025财年年报归属股东应占溢利1201亿美元，同比增长64.75%，基本每股收益4.93美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2026-02-25
LEVEL1_CONTENT,2025季度分配每1股派0.01美元股息，除权除息日2026-03-11，派息日2026-04-01
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,三季报披露
NOTICE_DATE,2025-11-19
LEVEL1_CONTENT,2025财年三季报归属股东应占溢利771.1亿美元，同比增长51.82%，基本每股收益3.16美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2025-11-19
LEVEL1_CONTENT,2025季度分配每1股派0.01美元股息，除权除息日2025-12-04，派息日2025-12-26
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-17
LEVEL1_CONTENT,获大和资本市场香港上调目标价至205美元，最新评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-11
LEVEL1_CONTENT,获D. A.达维德森上调评级至Buy，目标价上调至210美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-08
LEVEL1_CONTENT,获花旗下调目标价至200美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-04
LEVEL1_CONTENT,获摩根大通重申评级Overweight，目标价调整至215美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-09-02
LEVEL1_CONTENT,获浦银国际证券维持评级至买入，目标价203美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-29
LEVEL1_CONTENT,获交银国际证券维持评级至买入，目标价204美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获THE BENCHMARK COMPANY上调目标价至220美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
